ClaimID,PolicyID,ClaimDate,ClaimType,ReportedDamage,NumParties,Description,ClaimComplexityLabel,FraudLabel
CLM-000002,POL-000005,2023/4/6 2:32,Theft/Comprehensive,942.0350234,1,"This claim involves a theft incident affecting a single vehicle, resulting in a loss amounting to $942.04. Fortunately, there were no injuries reported during this event.",Simple,0
CLM-000003,POL-000010,2024/2/13 4:09,Fender-Bender,8242.200484,2,"A minor fender-bender involving two vehicles resulted in damages totaling $8,242.20, but fortunately, no injuries were reported in the incident.",Simple,0
CLM-000004,POL-000012,2023/10/4 8:37,Fender-Bender,9452.744495,2,"This fender-bender involved two vehicles, resulting in significant damage amounting to $9,452.74. Fortunately, there were no injuries reported from the accident.",Simple,0
CLM-000005,POL-000026,2023/5/10 23:21,Theft/Comprehensive,813.5274116,1,"This claim involves the theft of a single vehicle, resulting in damages amounting to $813.53. Fortunately, no injuries were reported in this incident.",Simple,1
CLM-000015,POL-000115,2024/3/23 1:12,Fender-Bender,5081.606817,1,"This claim arises from a fender-bender involving one vehicle, resulting in damages totaling $5,081.61. Fortunately, there were no injuries sustained in the accident.",Simple,0
CLM-000016,POL-000140,2024/2/21 18:31,Theft/Comprehensive,2887.436843,1,"This claim involves a comprehensive theft incident affecting a single vehicle, resulting in a loss of $2,887.44. Fortunately, there were no injuries reported during the event.",Simple,1
CLM-000017,POL-000142,2023/8/13 0:27,Fender-Bender,6589.073445,2,"A fender-bender involving two vehicles resulted in damage totaling $6,589.07, but fortunately, no injuries were reported in the incident. Both parties emerged unscathed despite the collision.",Simple,0
CLM-000019,POL-000151,2024/11/8 11:45,Theft/Comprehensive,1364.40282,1,"This claim involves a theft incident affecting one vehicle, resulting in damages totaling $1,364.40. Thankfully, there were no injuries reported in connection with this event.",Simple,0
CLM-000020,POL-000154,2024/4/27 15:20,Theft/Comprehensive,1133.279409,2,"This claim involves a comprehensive theft with a reported damage of $1,133.28, affecting two vehicles. Thankfully, there were no injuries sustained during the incident.",Simple,0
CLM-000022,POL-000174,2024/6/17 8:19,Theft/Comprehensive,555.2088344,2,"This claim relates to a theft incident involving two vehicles, with damages amounting to $555.21. Fortunately, there were no injuries reported during this event.",Simple,0
CLM-000024,POL-000187,2023/12/28 14:41,Major Collision,21519.02021,1,"The major collision incurred damages amounting to $21,519.02, and unfortunately, it resulted in at least one injury. As a result of the accident, medical attention was required for those involved.",Moderate,0
CLM-000027,POL-000191,2023/10/6 12:24,Fender-Bender,8886.948292,1,"This fender-bender resulted in significant damage amounting to $8,886.95, but fortunately, no injuries were reported. Only one vehicle was involved in the incident.",Simple,0
CLM-000028,POL-000204,2024/5/3 8:39,Theft/Comprehensive,1287.688692,2,"This claim involves a theft incident with two vehicles affected, resulting in damages amounting to $1,287.69. Fortunately, there were no injuries reported during this occurrence.",Simple,0
CLM-000029,POL-000208,2023/11/26 14:20,Theft/Comprehensive,1260.376734,5,"This claim, totaling $1,260.38, involves the theft of a vehicle in an incident that affected five vehicles. Fortunately, there were no injuries reported.",Moderate,0
CLM-000035,POL-000250,2024/2/5 4:13,Fender-Bender,2674.601522,1,"A fender-bender involving one vehicle resulted in damages amounting to $2,674.60. Thankfully, there were no injuries reported in the accident.",Simple,0
