PolicyID,HolderAge,VehicleType,AnnualMileage,LocationUrban,CreditScore,PolicyStart,PolicyEnd,NextYearLoss
POL-003116,66.61025636,Sedan,7145.427809,1,0.722824561,2023/7/30,2024/7/30,0
POL-005296,32.40125874,SUV,11053.49479,1,0.714875694,2023/4/3,2024/4/3,0
POL-005440,64.23761824,Sedan,5994.794058,1,0.954222753,2023/11/20,2024/11/20,0
POL-002212,61.79531737,Sedan,10082.2855,1,0.835319765,2023/11/6,2024/11/6,29716.46158
POL-001522,71.54799026,Sedan,12067.8575,1,0.822489767,2023/2/5,2024/2/5,0
POL-000225,39.03627439,Sedan,24469.45074,1,0.865315461,2023/12/9,2024/12/9,0
POL-001257,36.03122508,Sedan,11486.97773,0,0.857661195,2023/8/26,2024/8/26,0
POL-005064,41.61436847,Sedan,12999.9047,1,0.693603955,2023/11/12,2024/11/12,2219.502161
POL-004959,35.31388178,SUV,9065.957178,1,0.834482102,2023/9/30,2024/9/30,0
POL-003303,50.11452489,Sedan,7190.375226,1,0.90177434,2023/10/30,2024/10/30,6594.320939
POL-005057,45.60581816,Sedan,8467.213876,0,0.828884482,2023/3/27,2024/3/27,0
POL-000503,40.88704,SUV,16876.76577,1,0.803868421,2023/9/17,2024/9/17,2245.160697
POL-001932,50.21059734,Sedan,21555.85686,1,0.962963762,2023/7/16,2024/7/16,0
POL-001705,45.66874348,Sedan,5023.549165,1,0.858572462,2023/5/27,2024/5/27,0
POL-006154,27.21953027,Sedan,8364.622034,1,0.765717723,2023/4/9,2024/4/9,1493.642596
POL-007158,46.45892956,SUV,17381.10952,1,0.962600892,2023/9/2,2024/9/2,4574.986517
POL-002256,50.62110664,Sedan,11257.60054,0,0.815241786,2023/9/14,2024/9/14,0
POL-006782,47.18524708,Sedan,9149.956408,0,0.905400823,2023/7/18,2024/7/18,0
POL-003584,65.32853088,SUV,15238.96307,1,0.908802853,2023/12/24,2024/12/24,0
POL-002279,53.22150297,SUV,14756.89728,1,0.780613983,2023/4/28,2024/4/28,0
POL-001951,29.31500882,Sports,8694.378561,0,0.636774242,2023/2/11,2024/2/11,0
POL-006199,36.46512785,SUV,6700.097688,1,0.907564986,2023/2/24,2024/2/24,25151.79665
POL-002344,42.64389902,SUV,17233.66277,1,0.533449372,2023/12/29,2024/12/29,19632.69852
POL-001364,53.1112278,Sedan,16113.07663,1,0.874265955,2023/8/2,2024/8/2,0
POL-009553,57.87211362,SUV,14297.36465,0,0.841481364,2023/9/11,2024/9/11,0
POL-001063,59.71037015,SUV,18466.23564,0,0.815271999,2023/4/9,2024/4/9,0
POL-008173,47.34951386,Sedan,42015.22071,1,0.910032817,2023/6/21,2024/6/21,22519.39087
POL-000720,57.74553672,Sedan,20745.66536,1,0.63680256,2023/9/20,2024/9/20,0
POL-009400,22.72026509,Sedan,19863.33027,0,0.763090394,2023/7/11,2024/7/11,0
POL-001029,41.26895421,SUV,39359.20482,1,0.537702514,2023/6/18,2024/6/18,0
